Location,Number of Cows,Farm Size,Product Name,Brand,Price per Unit,Quantity (liters/kg),Total Value,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Telangana,96,Medium,Ice Cream,Dodla Dairy,85.72,222.4,19064.128,25,Frozen,7,82.24,575.68,Madhya Pradesh,Wholesale,215,19.55,64.03
Uttar Pradesh,44,Large,Milk,Amul,42.61,687.48,29293.5228,22,Tetra Pack,558,39.24,21895.92,Kerala,Wholesale,129,43.17,181.1
Tamil Nadu,24,Medium,Yogurt,Dodla Dairy,36.5,503.48,18377.02,30,Refrigerated,256,33.81,8655.36,Madhya Pradesh,Online,247,15.1,140.83
Telangana,89,Small,Cheese,Britannia Industries,26.52,823.36,21835.5072,72,Frozen,601,28.92,17380.92,Rajasthan,Online,222,74.5,57.68
Maharashtra,21,Medium,Buttermilk,Mother Dairy,83.85,147.77,12390.5145,11,Refrigerated,145,83.07,12045.15,Jharkhand,Retail,2,76.02,33.4
Telangana,51,Medium,Curd,Raj,85.54,593.92,50803.9168,5,Refrigerated,74,84.75,6271.5,Gujarat,Retail,519,55.6,139.59
Karnataka,74,Small,Cheese,Dynamix Dairies,36.83,757.14,27885.4662,83,Frozen,410,32.66,13390.6,Karnataka,Online,347,49.82,105.86
Bihar,77,Medium,Paneer,Mother Dairy,29.08,203.36,5913.7088,14,Refrigerated,15,29.09,436.35,Haryana,Online,188,10.9,25.14
West Bengal,76,Medium,Curd,Raj,22.79,949.12,21630.4448,6,Refrigerated,860,24.77,21302.2,Jharkhand,Wholesale,89,85.71,32.03
Telangana,36,Large,Buttermilk,Mother Dairy,42.08,385.64,16227.7312,9,Refrigerated,108,46.15,4984.2,Tamil Nadu,Retail,277,93.61,66.26
Madhya Pradesh,82,Small,Yogurt,Dodla Dairy,67.23,52.62,3537.6426,24,Refrigerated,22,68.09,1497.98,Kerala,Wholesale,30,81.34,118.57
Chandigarh,99,Small,Lassi,Sudha,84.6,653.04,55247.184,14,Refrigerated,345,88.05,30377.25,Karnataka,Online,308,26.65,24.68
Delhi,81,Large,Cheese,Passion Cheese,58.28,12.39,722.0892,69,Refrigerated,1,58.09,58.09,West Bengal,Retail,11,31.99,69.19
Telangana,39,Large,Ice Cream,Mother Dairy,94.43,612.16,57806.2688,25,Frozen,80,94.32,7545.6,Madhya Pradesh,Online,532,47.95,198.99
Gujarat,70,Medium,Ice Cream,Dodla Dairy,88.66,797.69,70723.1954,28,Frozen,645,93.51,60313.95,Karnataka,Retail,152,83.86,144.3
Kerala,71,Small,Milk,Mother Dairy,11.58,821.52,9513.2016,1,Polythene Packet,778,8.69,6760.82,Gujarat,Retail,43,89.45,28.11
Madhya Pradesh,95,Large,Ghee,Mother Dairy,48.83,663.34,32390.8922,138,Ambient,438,52.79,23122.02,Tamil Nadu,Retail,225,86.28,91.7
Kerala,88,Medium,Curd,Amul,26.18,385.41,10090.0338,6,Refrigerated,270,30.27,8172.9,Madhya Pradesh,Online,115,52.16,20.14
Madhya Pradesh,25,Large,Buttermilk,Amul,41.05,367.14,15071.097,10,Refrigerated,309,40.75,12591.75,West Bengal,Online,58,37.27,79.56
Tamil Nadu,52,Medium,Milk,Amul,93.72,896.89,84056.5308,28,Tetra Pack,486,96.08,46694.88,Telangana,Wholesale,410,26.87,92.23
Jharkhand,24,Large,Paneer,Raj,87.53,88.69,7763.0357,10,Refrigerated,26,87.3,2269.8,Chandigarh,Wholesale,62,31.49,106.59
Bihar,85,Small,Cheese,Britannia Industries,13.94,220.03,3067.2182,43,Frozen,62,14.13,876.06,Telangana,Online,158,29.59,193.62
Gujarat,41,Large,Yogurt,Amul,84.48,524.57,44315.6736,28,Frozen,173,89.32,15452.36,Tamil Nadu,Retail,351,92.88,37.73
Karnataka,79,Small,Cheese,Britannia Industries,90.1,879.11,79207.811,36,Frozen,610,91.05,55540.5,Rajasthan,Online,269,48.9,86.16
Maharashtra,80,Small,Curd,Sudha,81.31,212.56,17283.2536,5,Refrigerated,55,76.37,4200.35,Tamil Nadu,Online,157,18.64,64.06
Rajasthan,12,Large,Paneer,Sudha,62.21,886.35,55139.8335,8,Refrigerated,845,66.7,56361.5,Jharkhand,Wholesale,41,46.25,70.4
Madhya Pradesh,27,Small,Butter,Warana,89.64,430.46,38586.4344,37,Frozen,47,92.96,4369.12,Maharashtra,Wholesale,383,21.55,184.32
Jharkhand,90,Small,Butter,Warana,77.46,440.42,34114.9332,36,Frozen,246,77.53,19072.38,Chandigarh,Retail,194,88.03,53.81
Chandigarh,45,Medium,Curd,Mother Dairy,86.39,565.23,48830.2197,6,Refrigerated,305,84.57,25793.85,Maharashtra,Retail,260,25.75,124.9
